demand_el,wind,pv
0.614,0.278,0
0.614,0.281,0
0.558,0.283,0
0.532,0.283,0
0.52,0.252,0
0.499,0.186,0.054
0.46,0.186,0.184
0.456,0.185,0.346
0.465,0.185,0.522
0.495,0.185,0.69
0.527,0.514,0.831
0.567,0.514,0.861
0.579,0.513,0.812
0.567,0.653,0.687
0.563,0.788,0.442
0.564,0.787,0.333
0.602,0.932,0.216
0.663,0.99,0.073
0.679,0.873,0.03
0.669,0.93,0
0.645,0.929,0
0.644,0.988,0
0.659,1,0
0.617,0.927,0
0.577,0.984,0
0.556,0.995,0
0.543,0.981,0
0.538,0.968,0
0.548,0.996,0
0.572,0.868,0.018
0.626,0.869,0.016
0.711,0.646,0.036
0.767,0.648,0.098
0.796,0.509,0.14
0.821,0.182,0.414
0.844,0.326,0.645
0.847,0.327,0.431
0.836,0.184,0.735
0.822,0.185,0.605
0.817,0.186,0.427
0.833,0.03,0.203
0.87,0.005,0.062
0.841,0.005,0.035
0.839,0.005,0
0.79,0.005,0
0.767,0.03,0
0.763,0.03,0
0.705,0.005,0
